id	state	label	rent	years	home	latitude	longitude
AL	Alabama	"Gulf Shores, AL"	120	7.08	217300	32.527474	-87.748056
AK	Alaska	"Homer, AK"	200	4.85	247500	65.813423	-154.606651
AZ	Arizona	"Tucson, AZ"	100	5.35	136600	33.7712	-111.3877
AR	Arkansas	"Hot Springs Village, AR"	100	6.55	167000	34.9513	-92.3809
CA	California	"South Lake Tahoe, CA"	280	4.47	319700	36.17	-119.7462
CO	Colorado	"Breckenridge, CO"	215	11.74	645000	39.0646	-105.3272
CT	Connecticut	"Mystic, CT"	260	5.17	343100	41.368555	-73.361755
DE	Delaware	"Bethany Beach, DE"	267	6.96	474900	38.671422	-75.653426
FL	Florida	"Florida Panhandle, FL"	150	3.18	122000	29.763538	-82.97999
GA	Georgia	"Savannah, GA"	250	1.69	107800	32.9866	-83.6487
HI	Hawaii	"Kauai, HI"	250	7.25	463200	21.1098	-157.5311
ID	Idaho	"Ketchum, ID"	299	9.1	695000	43.560263	-116.141942
IL	Illinois	"Chicago, IL"	300	2.43	186600	40.909204	-89.690276
IN	Indiana	"Michigan City, IN"	274	1.32	99000	40.207784	-86.892856
IA	Iowa	"Des Moines, IA"	150	2.86	109300	42.0046	-93.214
KS	Kansas	"Wichita, KS"	199	2.66	97200	38.516925	-99.279502
KY	Kentucky	"Lexington, KY"	162	3.52	146800	37.669	-84.6514
LA	Louisiana	"New Orleans, LA"	250	2.56	163600	31.961956	-93.803746
ME	Maine	"Bar Harbor, ME"	230	5.86	344250	45.032929	-70.155591
MD	Maryland	"McHenry, MD"	300	2.3	176600	39.558459	-79.352817
MA	Massachusetts	"Cape Cod, MA"	225	6.1	349800	42.2373	-71.5314
MI	Michigan	"Saugatuck, MI"	333	3.01	256300	43.3504	-84.5603
MN	Minnesota	"Ely, MN"	170	2.99	129700	46.516274	-95.412314
MS	Mississippi	"Gulfport, MS"	236	2.42	145900	33.173532	-90.868173
MO	Missouri	"Branson, MO"	137	4.43	154900	38.317592	-93.054817
MT	Montana	"Flathead County, MT"	200	6.24	319000	46.9048	-110.3261
NE	Nebraska	"Omaha, NE"	337.5	1.51	130200	41.511579	-98.2883
NV	Nevada	"Las Vegas Metro, NV"	250	2.86	182500	38.4199	-117.1219
NH	New Hampshire	"Lake Winnipesaukee, NH"	258	4.02	264900	43.187675	-72.261073
NJ	New Jersey	"Jersey Shore, NJ"	285	1.54	112000	39.80837	-74.082922
NM	New Mexico	"Santa Fe, NM"	425	3.02	328300	34.8375	-106.2371
NY	New York	"NYC, NY"	335	6.25	535100	42.916048	-76.697668
NC	North Carolina	"Corolla, NC"	145	14.63	542100	35.6411	-79.8431
ND	North Dakota	"Bismarck, ND"	100	9.5	242200	47.5362	-99.793
OH	Ohio	"Sandusky, OH"	225	1.25	71500	40.3736	-82.7755
OK	Oklahoma	"Oklahoma City, OK"	100	4.69	119500	35.5376	-96.9247
OR	Oregon	"Bend, OR"	225	5.05	290400	44.047816	-121.748903
PA	Pennsylvania	"Pocono Lake, PA"	130	3.19	106000	40.5773	-77.264
RI	Rhode Island	"Newport, RI"	312	4.57	364600	41.409767	-71.733032
SC	South Carolina	"Myrtle Beach, SC"	125	5.32	169900	33.8191	-80.9066
SD	South Dakota	"Hill City, SD"	180	5.46	250000	44.5307	-99.4632
TN	Tennessee	"Gatlinburg, TN"	210	2.41	129500	35.7449	-86.7489
TX	Texas	"Galveston, TX"	378	2.33	225000	31.544506	-101.08126
UT	Utah	"Park City, UT"	249	9.71	617700	39.799776	-112.124879
VT	Vermont	"Stowe, VT"	300	5.07	388300	44.374513	-73.183867
VA	Virginia	"Virginia Beach, VA"	185	5.17	244500	37.329905	-79.053748
WA	Washington	"Lake Chelan, WA"	275	3.15	221200	47.3917	-121.5708
WV	West Virginia	"Canaan Township, WV"	275	2.61	183000	38.736192	-81.617685
WI	Wisconsin	"Wisconsin Dells, WI"	250	2.21	141100	44.577673	-90.57833
WY	Wyoming	"Jackson Hole, WY"	309	14.88	1175000	43.588047	-108.850954
DC	District of Columbia	Washington DC	220	8.21	461400	38.402714	-77.770349
